receptor,ligand,affinity
WT,5FU,-4.52
WT,5FU,-4.459
WT,5FU,-4.241
WT,5FU,-4.182
WT,5FU,-4.154
WT,5FU,-4.137
WT,5FU,-4.003
WT,5FU,-4.001
WT,5FU,-3.989
WT,5FU,-3.967
WT,5FU,-3.931
WT,5FU,-3.922
WT,5FU,-3.916
WT,5FU,-3.89
WT,5FU,-3.831
WT,5FU,-3.817
WT,5FU,-3.816
WT,5FU,-3.782
WT,5FU,-3.751
WT,5FU,-3.747
WT,PRPP,-7.139
WT,PRPP,-7.09
WT,PRPP,-7.002
WT,PRPP,-6.934
WT,PRPP,-6.796
WT,PRPP,-6.761
WT,PRPP,-6.709
WT,PRPP,-6.694
WT,PRPP,-6.665
WT,PRPP,-6.604
WT,PRPP,-6.495
WT,PRPP,-6.447
WT,PRPP,-6.435
WT,PRPP,-6.417
WT,PRPP,-6.398
WT,PRPP,-6.377
WT,PRPP,-6.371
WT,PRPP,-6.342
WT,PRPP,-6.323
WT,PRPP,-6.269
WT,PRPP_5FU,-9.58
WT,PRPP_5FU,-9.431
WT,PRPP_5FU,-9.368
WT,PRPP_5FU,-9.362
WT,PRPP_5FU,-9.351
WT,PRPP_5FU,-9.293
WT,PRPP_5FU,-9.165
WT,PRPP_5FU,-9.119
WT,PRPP_5FU,-9.107
WT,PRPP_5FU,-9.081
WT,PRPP_5FU,-9.077
WT,PRPP_5FU,-9.071
WT,PRPP_5FU,-9.058
WT,PRPP_5FU,-9.03
WT,PRPP_5FU,-8.985
WT,PRPP_5FU,-8.976
WT,PRPP_5FU,-8.921
WT,PRPP_5FU,-8.916
WT,PRPP_5FU,-8.899
WT,PRPP_5FU,-8.869
R1,5FU,-4.567
R1,5FU,-4.54
R1,5FU,-4.245
R1,5FU,-4.144
R1,5FU,-4.133
R1,5FU,-4.113
R1,5FU,-4.086
R1,5FU,-3.988
R1,5FU,-3.949
R1,5FU,-3.932
R1,5FU,-3.931
R1,5FU,-3.926
R1,5FU,-3.904
R1,5FU,-3.885
R1,5FU,-3.876
R1,5FU,-3.818
R1,5FU,-3.812
R1,5FU,-3.773
R1,5FU,-3.755
R1,5FU,-3.729
R1,PRPP,-7.159
R1,PRPP,-7.066
R1,PRPP,-6.955
R1,PRPP,-6.901
R1,PRPP,-6.75
R1,PRPP,-6.741
R1,PRPP,-6.737
R1,PRPP,-6.709
R1,PRPP,-6.547
R1,PRPP,-6.526
R1,PRPP,-6.488
R1,PRPP,-6.403
R1,PRPP,-6.393
R1,PRPP,-6.34
R1,PRPP,-6.336
R1,PRPP,-6.284
R1,PRPP,-6.248
R1,PRPP,-6.206
R1,PRPP,-6.14
R1,PRPP,-6.119
R1,PRPP_5FU,-9.569
R1,PRPP_5FU,-9.492
R1,PRPP_5FU,-9.415
R1,PRPP_5FU,-9.413
R1,PRPP_5FU,-9.375
R1,PRPP_5FU,-9.34
R1,PRPP_5FU,-9.326
R1,PRPP_5FU,-9.306
R1,PRPP_5FU,-9.289
R1,PRPP_5FU,-9.278
R1,PRPP_5FU,-9.239
R1,PRPP_5FU,-9.133
R1,PRPP_5FU,-9.066
R1,PRPP_5FU,-9.055
R1,PRPP_5FU,-9.048
R1,PRPP_5FU,-9.046
R1,PRPP_5FU,-9.037
R1,PRPP_5FU,-8.986
R1,PRPP_5FU,-8.931
R1,PRPP_5FU,-8.899
R4,5FU,-4.156
R4,5FU,-4.155
R4,5FU,-4.028
R4,5FU,-3.98
R4,5FU,-3.945
R4,5FU,-3.828
R4,5FU,-3.765
R4,5FU,-3.75
R4,5FU,-3.728
R4,5FU,-3.675
R4,5FU,-3.638
R4,5FU,-3.628
R4,5FU,-3.593
R4,5FU,-3.531
R4,5FU,-3.497
R4,5FU,-3.452
R4,5FU,-3.363
R4,5FU,-3.361
R4,5FU,-3.311
R4,5FU,-3.29
R4,PRPP,-6.028
R4,PRPP,-5.886
R4,PRPP,-5.881
R4,PRPP,-5.837
R4,PRPP,-5.627
R4,PRPP,-5.617
R4,PRPP,-5.571
R4,PRPP,-5.556
R4,PRPP,-5.531
R4,PRPP,-5.372
R4,PRPP,-5.367
R4,PRPP,-5.316
R4,PRPP,-5.281
R4,PRPP,-5.262
R4,PRPP,-5.244
R4,PRPP,-5.191
R4,PRPP,-5.122
R4,PRPP,-5.092
R4,PRPP,-5.054
R4,PRPP,-5.02
R4,PRPP_5FU,-8.567
R4,PRPP_5FU,-8.47
R4,PRPP_5FU,-8.467
R4,PRPP_5FU,-8.398
R4,PRPP_5FU,-8.205
R4,PRPP_5FU,-8.168
R4,PRPP_5FU,-8.167
R4,PRPP_5FU,-8.082
R4,PRPP_5FU,-8.064
R4,PRPP_5FU,-8.051
R4,PRPP_5FU,-8.032
R4,PRPP_5FU,-8.01
R4,PRPP_5FU,-7.968
R4,PRPP_5FU,-7.946
R4,PRPP_5FU,-7.929
R4,PRPP_5FU,-7.899
R4,PRPP_5FU,-7.895
R4,PRPP_5FU,-7.884
R4,PRPP_5FU,-7.879
R4,PRPP_5FU,-7.813